issue_id,issue_name,obd_code,system,component,severity,symptoms,likely_causes,diagnostic_steps,diy_or_mechanic
issue_0001,System Too Lean (Bank 1),P0171,Engine,Fuel System,Medium,"Check engine light, rough idle, poor fuel economy","Vacuum leak, dirty mass airflow sensor, weak fuel pump",1. Scan for code P0171. 2. Perform visual inspection for vacuum leaks. 3. Check MAF sensor voltage. 4. Test fuel pressure.,DIY
issue_0002,Random/Multiple Cylinder Misfire Detected,P0300,Engine,Ignition System,High,"Check engine light, engine vibration, loss of power","Faulty spark plugs, worn ignition coils, low compression",1. Retrieve code P0300. 2. Use oscilloscope to test coil outputs. 3. Inspect and replace spark plugs. 4. Perform compression test.,Mechanic Recommended
issue_0003,Catalyst System Efficiency Below Threshold (Bank 1),P0420,Engine,Catalytic Converter,Medium,"Check engine light, reduced fuel efficiency","Clogged catalytic converter, faulty oxygen sensor",1. Confirm P0420 code. 2. Perform O2 sensor voltage test. 3. Check exhaust backpressure. 4. Inspect catalyst temperature.,Mechanic Required
issue_0004,EVAP System Large Leak Detected,P0455,Engine,EVAP System,Low,"Check engine light, faint fuel odor","Loose or cracked fuel cap, broken EVAP hose",1. Verify P0455 code. 2. Inspect fuel cap and tighten/replace. 3. Perform smoke test on EVAP lines.,DIY
issue_0005,Transmission Fluid Low,N/A,Transmission,Transmission Fluid,Medium,"Delayed gear engagement, whining noise","Leak in transmission pan gasket, worn seals",1. Check transmission fluid dipstick level and condition. 2. Inspect pan gasket and seals for leaks. 3. Top up fluid to proper level.,DIY
issue_0006,Brake Pad Wear Indicator Triggered,N/A,Brakes,Brake Pads,Low,"Brake warning light, squeaking during braking",Brake pads worn beyond minimum thickness,1. Visual inspection of pad thickness. 2. Measure pad wear. 3. Replace pads if below spec.,DIY
issue_0007,Battery Voltage Low,N/A,Electrical,Battery,High,"Engine cranks slowly, dim headlights, check battery light","Aged battery, corroded terminals, charging system fault",1. Measure resting battery voltage. 2. Perform load test. 3. Inspect and clean terminals. 4. Check alternator output.,Mechanic Recommended
issue_0008,Worn Front Strut Mounts,N/A,Suspension,Strut Mounts,Medium,"Clunking noise over bumps, poor steering feel","Age, harsh road impacts",1. Perform bounce test on front corners. 2. Inspect strut mounts for cracks or play. 3. Replace if excessive movement detected.,Mechanic Required
issue_0009,Coolant Leak at Radiator Hose,N/A,Cooling,Radiator Hose,High,"Overheating, low coolant level, sweet smell","Hose degradation, loose clamp",1. Inspect radiator hoses for cracks or bulges. 2. Check clamp tightness. 3. Perform pressure test on cooling system.,DIY
issue_0010,ABS Fault - Communication Error,N/A,Electrical,ABS Module,Medium,"ABS warning light, brake pedal feel unchanged","Damaged wheel speed sensor wiring, faulty ABS module",1. Scan for ABS codes. 2. Inspect wheel speed sensor connectors for corrosion. 3. Test sensor resistance. 4. Replace module if no sensor fault.,Mechanic Recommended
issue_0011,Intake Air Temperature Sensor Circuit Malfunction,P0110,Engine,Intake Air Temperature Sensor,Medium,"Check engine light, rough idle, reduced fuel efficiency","Faulty sensor, wiring harness damage, loose connector",1. Scan for P0110 code. 2. Inspect sensor connector for corrosion. 3. Measure sensor voltage at idle (should be ~0.5-0.8V). 4. Replace sensor if out of spec. 5. Clear code and retest.,DIY
issue_0012,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1),P0135,Engine,Oxygen Sensor Heater,Low,"Check engine light, slightly higher emissions","Heater element failure, blown fuse, wiring short",1. Verify P0135 code. 2. Check fuse for O2 sensor heater circuit. 3. Perform resistance test on sensor heater (should be 2-5 ohms). 4. Replace sensor if heater resistance out of range. 5. Clear code.,DIY
issue_0013,Vehicle Speed Sensor Malfunction,P0500,Transmission,Vehicle Speed Sensor,Medium,"Cruise control failure, erratic speedometer, gear shift issues","Failed sensor, damaged wiring, poor ground",1. Scan for P0500 code. 2. Use multimeter to measure sensor voltage while rotating wheel (should vary smoothly). 3. Inspect wiring harness for damage. 4. Replace sensor if voltage is constant or out of range. 5. Clear code and test drive.,Mechanic Recommended
issue_0014,Transmission Control Module (TCM) Fault,P0700,Transmission,Transmission Control Module,High,"Transmission warning light, erratic shifting, limp mode","TCM software glitch, internal failure, wiring issues","1. Scan for P0700 and related secondary codes. 2. Check TCM power and ground circuits. 3. Perform TCM reflash if software update available. 4. If fault persists, replace TCM. 5. Clear codes and perform road test.",Mechanic Required
issue_0015,Throttle Actuator Control Motor Range/Performance,P2101,Engine,Throttle Body Motor,High,"Stalling, loss of power, check engine light, rough acceleration","Throttle body carbon build-up, motor failure, wiring fault",1. Retrieve P2101 code. 2. Inspect throttle body for carbon deposits; clean if needed. 3. Test motor resistance (should be 5-7 ohms). 4. Check wiring continuity. 5. Replace throttle body if motor faulty. 6. Clear codes.,Mechanic Recommended
